"","DMA","Dota.2","League.of.Legends","Fortnite","Overwatch","Call.of.Duty","CSGo","HotS","Starcraft","Halo.5","Trump.2016.Vote."
"48","Waco-Temple-Bryan TX",1,4,70,15,10,NA,22,49,29,61.59
"49","Oklahoma City OK",1,4,72,14,9,NA,18,46,36,62.83
"50","Columbus OH",1,4,72,13,10,NA,16,55,29,47.9
"51","Portland-Auburn ME",1,3,73,15,8,NA,17,60,23,42.97
"52","Rochester NY",1,5,71,15,8,NA,22,55,23,44.07
"53","Phoenix AZ",1,4,71,15,9,1,20,49,31,50.09
"54","Detroit MI",1,4,73,13,9,1,16,58,26,41.93
"55","Columbia-Jefferson City MO",1,5,70,14,10,NA,14,53,33,45.53
"56","St. Louis MO",1,3,74,13,9,1,21,54,25,50.62
"57","Palm Springs CA",1,3,75,13,8,NA,20,43,37,44.73
"58","Albany-Schenectady-Troy NY",1,3,74,14,8,NA,17,58,25,44.11
"59","Syracuse NY",1,4,71,14,10,NA,16,62,22,43.45
"60","Honolulu HI",1,7,69,17,6,NA,26,49,25,30.04
"61","Charlotte NC",1,3,76,11,9,1,17,48,34,53.45
"62","San Antonio TX",1,4,71,15,9,NA,16,45,39,49.36
"63","Roanoke-Lynchburg VA",1,4,73,12,10,NA,18,46,36,60.3
"64","Idaho Falls-Pocatello ID",1,5,70,15,9,NA,19,51,30,58.14
"65","Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL",1,3,72,14,10,NA,26,46,28,71.45
"66","Spokane WA",1,5,69,15,10,NA,15,54,31,56.02
"67","Springfield MO",1,5,70,13,11,NA,17,56,27,72.57
"68","Mobile AL-Pensacola (Ft. Walton Beach) FL",1,4,72,14,9,NA,20,42,38,64.14
"69","Las Vegas NV",1,6,69,16,8,NA,24,49,27,42.47
"70","Columbus GA",1,4,73,12,10,NA,20,52,28,50.82
"71","Richmond-Petersburg VA",1,3,73,14,9,NA,20,49,31,44.06
"72","Columbia SC",1,3,74,12,10,NA,15,47,38,61.12
"73","Greenville-New Bern-Washington NC",1,4,72,12,11,NA,15,40,45,55.91
